кольцо и внутри;;3 станции от кольца;;внутри ТТК;;5 станций
;;столбик А +:;;столбик А+С+:;;столбик А+С+Е+:
баррикадная;;Улица 1905 года;;Хорошёво;;панфиловская
пушкинская;;Беговая; ;Зорге;;щукинская
кузнецкий мост;;полежаевская;;Панфиловская;;водный стадион
китай город ;;цска;;Стрешнево;;свиблово
таганская;;петровский парк;;Балтийская;;измайловская
белорусская;;динамо;;Войковская;;перово
маяковская;;аэропорт;;Балтийская;;новогиреево
тверская;;савеловская;;Коптево;;кузьминки
театральная;;дмитровская;;Лихоборы;;рязанский проспект
новокузнецкая;;тимирязевская;;Окружная;;кожуховская
павелецкая;;марьина роща;;петровско-разумовская;;печатники
менделеевская;;бутырская;;владыкино;;каширская
цветной бульвар;;рижская;;Ботанический сад;;кантемировская
чеховская;;алексеевская;;Ростокино;;нахимовский проспект
боровицкая;;вднх;;Белокаменная;;севостопольская
полянка;;фонвизинская;;Бульвар Рокоссовского;;профсоюзная
серпуховская;;красносельская;;Черкизовская;;новоые черёмушки
трубная;;сокольники;;Локомотив;;проспект вернадского
сретенский бульвар;;преображенская площадь;;Партизанская;;юго-западная
чкаловская;;бауманская;;Измайлово;;ломоносовский проспект
достоевская;;электрозаводская;;Соколиная гора;;раменки
проспект мира;;семёновская;;Шоссе Энузиастов;;кунцевская
сухаревская;;римская;;Андроновка;;молодежная
китай-город;;крестьянская застава;;Нижегородская;;крылатское
третьяковская;;дубровка;;Новохохловская;;филевский парк
октябрьская;;пролетарская;;Угрешская;;пионерская
тургеневская;;волгоградский проспект;;Дубровка;;
комсомольская;;текстильщики;;;;
чистые пруды;;автозаводская;;;;
лубянка;;технопарк;;;;
охотный ряд;;коломенская;;;;
Библиотека им. Ленина;;тульская;;;;
кропоткинская;;нагатинская;;;;
парк культуры;;нагорная;;;;
курская;;шаболовская;;;;
пл. революции;;ленинский проспект;;;;
Арбатская;;академическая;;;;
Смоленская;;фрунзенская;;;;
Киевская;;спортивная;;;;
Арбатская;;воробьевы горы;;;;
Смоленская;;университет;;;;
Киевская;;деловой центр;;;;
Новослободская;;выставочная;;;;
Добрынинская;;международная;;;;
Краснопресненская;;кутузовская;;;;
Третьяковская;;студенческая;;;;
Марскистская;;парк победы;;;;
;;славянский бульвар;;;;
;;кунцевская;;;;
;;кутузовская;;;;
;;фили;;;;
;;багратионовская; ;;;
;;минская;;;;
;;сокол;;;;
;;шелепиха;;;;
